ID	Title	Worldwide Lifetime Gross	Domestic Lifetime Gross	Domestic %	Foreign Lifetime Gross	Foreign %	Year
1	Avatar	2923706026	785,221,649	26.9%	2,138,484,377	73.1%	2009
2	Avengers: Endgame	2799439100	858,373,000	30.7%	1,941,066,100	69.3%	2019
3	Avatar: The Way of Water	2309660236	680,398,659	29.5%	$1,629,261,577	70.5%	2022
4	Titanic	2256126138	674,292,608	29.9%	1,581,833,530	70.1%	1997
5	Star Wars: Episode VII - The Force Awakens	2071310218	$936,662,225	45.2%	$1,134,647,993	54.8%	2015
6	Avengers: Infinity War	2052415039	678,815,482	33.1%	$1,373,599,557	66.9%	2018
7	Spider-Man: No Way Home	1921847111	814,115,070	42.4%	$1,107,732,041	57.6%	2021
8	Jurassic World	1671537444	653,406,625	39.1%	$1,018,130,819	60.9%	2015
9	The Lion King	1663075401	543,638,043	32.7%	$1,119,437,358	67.3%	2019
10	The Avengers	1520538536	623,357,910	41%	897,180,626	59%	2012
